snapshot_row_id,family,start_seconds,start_utc,end_seconds,end_utc,read_seconds,read_utc,write_seconds,write_utc,hfStart_seconds,hfStart_utc,hfEnd_seconds,hfEnd_utc,observedStop,hf_before_read,read_to_hf_hours
87,HPIM,167843.97,2026-07-07T22:37:23.970000+00:00,359634.0,2026-07-10T03:53:54+00:00,295618.133,2026-07-09T10:06:58.133000+00:00,296047.033,2026-07-09T10:14:07.033000+00:00,299380.03,2026-07-09T11:09:40.030000+00:00,359634.0,2026-07-10T03:53:54+00:00,False,False,1.0449713888889043
88,HPIM,163787.318,2026-07-07T21:29:47.318000+00:00,361979.0,2026-07-10T04:32:59+00:00,278553.478,2026-07-09T05:22:33.478000+00:00,278811.325,2026-07-09T05:26:51.325000+00:00,292198.969,2026-07-09T09:09:58.969000+00:00,361979.0,2026-07-10T04:32:59+00:00,False,False,3.790414166666661
89,HPIM,168791.691,2026-07-07T22:53:11.691000+00:00,362875.724,2026-07-10T04:47:55.724000+00:00,325616.389,2026-07-09T18:26:56.389000+00:00,325869.791,2026-07-09T18:31:09.791000+00:00,,,,,False,False,
90,HPIM,174990.35,2026-07-08T00:36:30.350000+00:00,363015.997,2026-07-10T04:50:15.997000+00:00,294371.77,2026-07-09T09:46:11.770000+00:00,294553.867,2026-07-09T09:49:13.867000+00:00,,,,,False,False,
91,HPIM,170044.406,2026-07-07T23:14:04.406000+00:00,364356.268,2026-07-10T05:12:36.268000+00:00,257971.578,2026-07-08T23:39:31.578000+00:00,258297.754,2026-07-08T23:44:57.754000+00:00,298520.218,2026-07-09T10:55:20.218000+00:00,364356.268,2026-07-10T05:12:36.268000+00:00,False,False,11.263511111111107
92,HPIM,164737.926,2026-07-07T21:45:37.926000+00:00,365472.628,2026-07-10T05:31:12.628000+00:00,308600.054,2026-07-09T13:43:20.054000+00:00,329946.816,2026-07-09T19:39:06.816000+00:00,,,,,False,False,
93,HPIM,189585.791,2026-07-08T04:39:45.791000+00:00,366391.643,2026-07-10T05:46:31.643000+00:00,336643.292,2026-07-09T21:30:43.292000+00:00,336817.261,2026-07-09T21:33:37.261000+00:00,,,,,False,False,
94,HPIM,163858.559,2026-07-07T21:30:58.559000+00:00,367640.24,2026-07-10T06:07:20.240000+00:00,257619.62,2026-07-08T23:33:39.620000+00:00,258595.845,2026-07-08T23:49:55.845000+00:00,294897.268,2026-07-09T09:54:57.268000+00:00,367640.24,2026-07-10T06:07:20.240000+00:00,False,False,10.354902222222218
95,HPIM,188096.249,2026-07-08T04:14:56.249000+00:00,368995.762,2026-07-10T06:29:55.762000+00:00,332879.243,2026-07-09T20:27:59.243000+00:00,338299.637,2026-07-09T21:58:19.637000+00:00,,,,,False,False,
96,HPIM,168281.03,2026-07-07T22:44:41.030000+00:00,369971.289,2026-07-10T06:46:11.289000+00:00,334848.616,2026-07-09T21:00:48.616000+00:00,335009.527,2026-07-09T21:03:29.527000+00:00,,,,,False,False,
97,HPIM,163645.24,2026-07-07T21:27:25.240000+00:00,372357.0,2026-07-10T07:25:57+00:00,287947.363,2026-07-09T07:59:07.363000+00:00,288116.924,2026-07-09T08:01:56.924000+00:00,,,,,False,False,
98,HPIM,170892.17,2026-07-07T23:28:12.170000+00:00,372440.522,2026-07-10T07:27:20.522000+00:00,356390.441,2026-07-10T02:59:50.441000+00:00,356774.379,2026-07-10T03:06:14.379000+00:00,,,,,False,False,
99,HPIM,163845.886,2026-07-07T21:30:45.886000+00:00,376402.754,2026-07-10T08:33:22.754000+00:00,319026.461,2026-07-09T16:37:06.461000+00:00,319274.312,2026-07-09T16:41:14.312000+00:00,319900.896,2026-07-09T16:51:40.896000+00:00,376402.754,2026-07-10T08:33:22.754000+00:00,False,False,0.24289861111111047
100,HPIM,169730.089,2026-07-07T23:08:50.089000+00:00,377650.325,2026-07-10T08:54:10.325000+00:00,260522.008,2026-07-09T00:22:02.008000+00:00,260637.761,2026-07-09T00:23:57.761000+00:00,298971.369,2026-07-09T11:02:51.369000+00:00,377650.325,2026-07-10T08:54:10.325000+00:00,False,False,10.680378055555558
101,HPIM,163962.994,2026-07-07T21:32:42.994000+00:00,383712.0,2026-07-10T10:35:12+00:00,286882.218,2026-07-09T07:41:22.218000+00:00,287256.125,2026-07-09T07:47:36.125000+00:00,,,,,False,False,
102,HPIM,167564.561,2026-07-07T22:32:44.561000+00:00,385709.0,2026-07-10T11:08:29+00:00,345950.155,2026-07-10T00:05:50.155000+00:00,346183.077,2026-07-10T00:09:43.077000+00:00,,,,,False,False,
103,HPIM,170599.383,2026-07-07T23:23:19.383000+00:00,404323.0,2026-07-10T16:18:43+00:00,304907.119,2026-07-09T12:41:47.119000+00:00,305233.852,2026-07-09T12:47:13.852000+00:00,,,,,False,False,
104,HPIM,163826.891,2026-07-07T21:30:26.891000+00:00,425503.0,2026-07-10T22:11:43+00:00,261750.064,2026-07-09T00:42:30.064000+00:00,261825.144,2026-07-09T00:43:45.144000+00:00,,,,,False,False,
105,HPIM,169871.223,2026-07-07T23:11:11.223000+00:00,448157.0,2026-07-11T04:29:17+00:00,264812.46,2026-07-09T01:33:32.460000+00:00,265168.938,2026-07-09T01:39:28.938000+00:00,,,,,False,False,
106,HPIM,163864.612,2026-07-07T21:31:04.612000+00:00,448273.0,2026-07-11T04:31:13+00:00,433254.161,2026-07-11T00:20:54.161000+00:00,441746.953,2026-07-11T02:42:26.953000+00:00,,,,,False,False,
107,HPIM,215461.919,2026-07-08T11:51:01.919000+00:00,269525.81,2026-07-09T02:52:05.810000+00:00,258352.017,2026-07-08T23:45:52.017000+00:00,258641.229,2026-07-08T23:50:41.229000+00:00,,,,,False,False,
